node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	103
362	12
363	27
364	22
365	95
366	31
367	22
368	480
369	11
370	67
371	153
372	35
373	19
374	17
375	116
376	13
377	13
378	167
379	32
380	36
381	30
382	16
383	24
384	12
385	14
386	23
387	14
388	114
389	6
390	47
391	59
392	44
393	102
394	22
395	25
396	27
397	19
398	6
399	8
400	36
401	119
402	11
403	10
404	9
405	15
406	11
407	30
408	111
409	17
410	14
411	25
412	12
413	9
414	11
415	7
416	7
417	14
418	24
419	80
420	19
421	14
422	150
423	36
424	22
425	13
426	17
427	14
428	31
429	16
430	16
431	9
432	9
433	15
434	13
435	6
436	24
437	135
438	37
439	32
440	5
441	5
442	13
443	9
444	16
445	13
446	49
447	15
448	62
449	118
450	10
451	89
452	16
453	41
454	38
455	52
456	29
457	12
458	21
459	42
460	12
461	9
462	79
463	13
464	140
465	9
466	5
467	15
468	15
469	40
470	6
471	21
472	11
473	6
474	5
475	30
476	5
477	11
478	10
479	12
480	14
481	6
482	13
483	12
484	13
485	10
486	16
487	18
488	13
489	15
490	21
491	21
492	23
493	23
494	23
495	25
496	18
497	20
498	18
499	22
500	20
501	20
502	13
503	23
504	8
505	18
506	6
507	16
508	13
509	101
510	140
511	9
512	29
513	6
514	297
515	23
516	10
517	7
518	5
519	6
520	33
521	59
522	24
523	17
524	24
525	16
526	60
527	60
528	60
529	21
530	21
531	25
532	8
533	14
534	6
535	29
536	45
537	5
538	9
539	48
540	10
541	25
542	9
543	7
544	13
545	10
546	5
547	8
548	5
549	6
550	13
551	14
552	10
553	42
554	9
555	69
556	54
557	28
558	5
559	8
560	20
561	7
562	14
563	9
564	10
565	40
566	39
567	22
568	28
569	20
570	6
571	34
572	117
573	61
574	59
575	16
576	22
577	12
578	12
579	17
580	31
581	18
582	7
583	23
584	11
585	8
586	9
587	16
588	7
589	14
590	9
591	11
592	8
593	8
594	8
595	9
596	76
597	34
598	32
599	12
600	6
601	11
602	5
603	25
604	14
605	28
606	5
607	14
608	5
609	19
610	48
611	23
612	27
613	81
614	85
615	58
616	169
617	43
618	49
619	21
620	39
621	146
622	20
623	77
624	12
625	49
626	58
627	6
628	13
629	20
630	16
631	78
632	16
633	8
634	82
635	73
636	33
637	22
638	110
639	202
640	137
641	175
642	76
643	46
644	44
645	217
646	34
647	27
648	96
649	189
650	43
651	33
652	15
653	32
654	92
655	16
656	97
657	44
658	48
659	65
660	114
661	173
662	63
663	85
664	31
665	30
666	25
667	27
668	33
669	34
670	29
671	31
672	101
673	40
674	24
675	24
676	138
677	46
678	172
679	18
680	54
681	29
682	41
683	25
684	25
685	75
686	25
687	82
688	46
689	102
690	17
691	136
692	34
693	50
694	263
695	58
696	73
697	63
698	32
699	98
700	105
701	293
702	25
703	100
704	52
705	324
706	143
707	88
708	219
709	139
710	56
711	31
712	150
713	50
714	73
715	40
716	41
717	247
718	95
719	79
720	54
721	190
722	27
723	54
724	49
725	283
726	441
727	175
728	34
729	941
730	204
731	78
732	87
733	424
734	297
735	53
736	63
737	460
738	253
739	145
740	78
741	233
742	102
743	265
744	36
745	40
746	96
747	99
748	93
749	54
750	71
751	288
752	292
753	97
754	90
755	85
756	52
757	97
758	85
759	85
760	99
761	96
762	620
763	302
764	469
765	91
766	53
767	927
768	129
769	95
770	91
771	99
772	89
773	156
774	1183
775	406
776	2340
777	1152
778	1213
779	2737
