node	children_node
361	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
362	0,15,165,224,225,249
363	3,255,281
364	3,255
365	3,255
366	6
367	6
368	6,130,282
369	6,130,282
370	9,305,328
371	9,274,305,317,328,329,339
372	9,14,53,168,212,226,305,328
373	10,81,99,165,210,224,225,279
374	10,189,249
375	10,63,189,226
376	10,105,124,208,292
377	10,168
378	12,13
379	14,90
380	14,40,53,63,68,92,305,329
381	15,55
382	15,168
383	15,216
384	15,105,115
385	15
386	15
387	15,279
388	18,141,155,201,303
389	18,303
390	23,27,138,336
391	30,168,279
392	31,49,124,279,292
393	31,279
394	31,105,165,224,279
395	31,279
396	31,279
397	31,49,279
398	31,49,165,224,279
399	31
400	31,71,124,279
401	31,49
402	31,49
403	31,317
404	31,92,168,189
405	40,105,255,281
406	47,317
407	49
408	49,189
409	51,139,154
410	52,80,124,292
411	52,124
412	53,329
413	53,55,125
414	54,93,105,124,279
415	60,75,80,155,201
416	65,279
417	66,79,97,134
418	73,105,279
419	73,105
420	73,105,115,168
421	74
422	74,126,127,279
423	74,279
424	74,165,224,279
425	74,279
426	74,105
427	74
428	74,279
429	74,279
430	78,166,183,221,258,306
431	81
432	81,99
433	81
434	81,99
435	81
436	81
437	81,99
438	81
439	81
440	81
441	81,99,279
442	81,99,165,224,279
443	81,99,279
444	81,165,224,279
445	81,279
446	81,279
447	81,279
448	81,279
449	81,165,224,279
450	81,279
451	81,279
452	81,165,224,279
453	81
454	85,305
455	87
456	103,151
457	105,115,168,279
458	105,250
459	105,265,332
460	105
461	105,165,216,224,225,279
462	105,165,224
463	110
464	115,168
465	115
466	115
467	115,168
468	124,177,254,259
469	124
470	124,168,292,304
471	125
472	125,164,293,295
473	125
474	125,248,256
475	125,248,256
476	130
477	130
478	137,156
479	141,205,231,232,233,302,358
480	152,153,193,222,261,262,276
481	165,224
482	165,224,225
483	165,224,279
484	168
485	168,279
486	172
487	181,213
488	184
489	189,256
490	189
491	189,282,305
492	189
493	189,280,282
494	189
495	204
496	206
497	207,208
498	207,329
499	220,301,310,312
500	226
501	226
502	227
503	227
504	235,244
505	241
506	241,255
507	245,341
508	248,256
509	248,256
510	248
511	250
512	255,281
513	255
514	278
515	279
516	279
517	279
518	279
519	279
520	280
521	281
522	282
523	305
524	305
525	313
526	316
527	329
528	337
529	354
530	471
531	373,515
532	381,382
533	528
534	405,460,481,516
535	414
536	500,501
537	458
538	464,465
539	393,394,395,396,399
540	461
541	486
542	433
543	435,436
544	432,434
545	412,455
546	366,367
547	497
548	508,524
549	363,371
550	364
551	484
552	361
553	491,509,520
554	503,505,506
555	454,523
556	468
557	418,419
558	504,526
559	378,409,478,480,487
560	415,417,430,496
561	479,529
562	374
563	411
564	507
565	375,376
566	521
567	473,474,475
568	379
569	510
570	437,441,442,443
571	438,444,445,446
572	439,447,448,449
573	440,450,451,452
574	457
575	457
576	457
577	457
578	467
579	372,493,522
580	368,369,476,477
581	400
582	402,403,406,456,492
583	408
584	426,427,428
585	483,517,518,525
586	362,385,386,387
587	377,404
588	513
589	365,494,498
590	462,519
591	530
592	392,397,398,401,402,407,583
593	489,490,552,579
594	514,555
595	466,537,538
596	370,512,546,554
597	547,565
598	389,391,459,470,568
599	511,551
600	463,556
601	531
602	390,488,559,560,561,564
603	469,563
604	533,581
605	566,567,569
606	453,544,570,574
607	543,571,575
608	542,572,576
609	431,573,577
610	384,420,578
611	421,422,423,424,425,429,584
612	485,531
613	380,587
614	557
615	582
616	527,588
617	591
618	545,549,550,589,616
619	482,541,595,599
620	606,607,608,609
621	598
622	548,553,603
623	416,601
624	499,558,602
625	532,610
626	580,596
627	612
628	613
629	594
630	617
631	617
632	585,590,619
633	623
634	413,625
635	630
636	593,631
637	534,535,539,540,592,597,611,620,627,632,633
638	635
639	472,495,638
640	600,639
641	388,410,562,604,640
642	624,641
643	383,502,536,586,605,614,615,618,621,622,626,628,629,634,636,637,642
