node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	53
362	103
363	12
364	27
365	22
366	95
367	31
368	22
369	480
370	11
371	15
372	65
373	92
374	34
375	67
376	153
377	35
378	19
379	17
380	116
381	13
382	13
383	167
384	32
385	36
386	30
387	16
388	24
389	12
390	14
391	23
392	14
393	8
394	39
395	114
396	14
397	6
398	117
399	47
400	28
401	24
402	59
403	31
404	44
405	102
406	22
407	25
408	27
409	19
410	36
411	6
412	12
413	8
414	36
415	119
416	11
417	10
418	9
419	15
420	11
421	30
422	111
423	17
424	14
425	25
426	12
427	9
428	11
429	7
430	7
431	14
432	24
433	80
434	19
435	86
436	14
437	14
438	11
439	19
440	10
441	17
442	150
443	36
444	99
445	22
446	13
447	17
448	14
449	31
450	16
451	16
452	9
453	9
454	15
455	13
456	6
457	13
458	24
459	135
460	37
461	32
462	53
463	6
464	6
465	73
466	25
467	42
468	27
469	22
470	29
471	17
472	18
473	46
474	5
475	30
476	5
477	13
478	8
479	9
480	9
481	16
482	13
483	49
484	15
485	62
486	118
487	10
488	89
489	16
490	41
491	38
492	52
493	29
494	12
495	21
496	42
497	12
498	18
499	21
500	9
501	79
502	13
503	140
504	8
505	11
506	29
507	9
508	5
509	5
510	7
511	15
512	15
513	40
514	66
515	6
516	21
517	11
518	6
519	5
520	30
521	5
522	11
523	10
524	17
525	8
526	12
527	28
528	14
529	6
530	13
531	12
532	13
533	10
534	16
535	18
536	13
537	15
538	21
539	21
540	23
541	23
542	23
543	25
544	18
545	20
546	18
547	22
548	20
549	20
550	13
551	34
552	23
553	9
554	21
555	6
556	8
557	5
558	18
559	11
560	6
561	16
562	13
563	101
564	140
565	9
566	29
567	17
568	55
569	6
570	297
571	6
572	6
573	23
574	10
575	7
576	5
577	6
578	24
579	12
580	9
581	27
582	33
583	10
584	59
585	24
586	5
587	17
588	18
589	24
590	43
591	16
592	60
593	60
594	60
595	21
596	12
597	21
598	25
599	8
600	11
601	14
602	6
603	29
604	45
605	12
606	16
607	24
608	15
609	14
610	16
611	5
612	9
613	28
614	12
615	14
616	48
617	10
618	25
619	9
620	7
621	13
622	10
623	5
624	8
625	12
626	5
627	6
628	13
629	14
630	10
631	42
632	14
633	9
634	69
635	54
636	12
637	19
638	6
639	28
640	5
641	8
642	20
643	7
644	24
645	5
646	14
647	9
648	10
649	40
650	39
651	22
652	28
653	20
654	6
655	34
656	117
657	61
658	59
659	16
660	22
661	6
662	9
663	12
664	12
665	17
666	31
667	18
668	7
669	23
670	8
671	11
672	8
673	60
674	61
675	33
676	75
677	84
678	47
679	60
680	47
681	47
682	31
683	47
684	27
685	14
686	13
687	5
688	9
689	9
690	16
691	7
692	14
693	9
694	11
695	8
696	8
697	37
698	8
699	9
700	12
701	11
702	76
703	9
704	34
705	32
706	45
707	12
708	8
709	6
710	11
711	5
712	20
713	12
714	7
715	14
716	25
717	14
718	28
719	16
720	10
721	37
722	8
723	5
724	14
725	5
726	5
727	19
728	48
729	23
730	27
731	81
732	85
733	58
734	169
735	43
736	49
737	129
738	84
739	21
740	34
741	39
742	55
743	146
744	20
745	77
746	12
747	49
748	58
749	6
750	13
751	20
752	16
753	78
754	34
755	16
756	8
757	82
758	34
759	31
760	73
761	33
762	22
763	110
764	202
765	15
766	137
767	175
768	76
769	106
770	65
771	59
772	17
773	10
774	46
775	44
776	217
777	34
778	27
779	96
780	189
781	43
782	33
783	29
784	15
785	32
786	119
787	92
788	16
789	79
790	90
791	97
792	44
793	48
794	75
795	78
796	65
797	114
798	173
799	63
800	85
801	44
802	31
803	30
804	25
805	27
806	33
807	34
808	29
809	31
810	101
811	40
812	24
