node	children_node
361	0,165,224,225,249
362	0,15,165,224,225,279
363	0,165,224,225,238,279
364	0,165,238,279
365	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
366	4,150,202
367	6
368	6
369	6,175
370	6
371	6
372	6,10,54,165,224,225
373	6,10
374	6,51
375	6
376	6,51
377	6
378	6
379	6
380	6
381	7
382	7,44,111,243
383	7,165,224,225,238,292
384	8,114
385	9,43,50,132,212,268,300,329,335
386	10,81,99,165,210,224,225,279
387	10,165,224,225,238,279
388	10,54,165,189,224,226
389	11,38,39,144,147,200,234,319,349,355
390	15,216
391	15
392	15,105,115
393	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
394	15
395	15,126,127
396	15,216
397	15,216
398	15,216
399	15,216
400	15,127,168,216,281
401	22
402	26
403	29,63,189
404	29
405	30,63,68,168,238,279
406	32,69
407	38,277
408	43
409	43,132,253,298,329
410	44,111,243
411	44,111,243
412	44,111,243
413	44,111,243
414	44,111,243
415	45,77
416	50
417	50
418	51,68,175
419	51,168
420	53,168,238,241,267,279
421	53,168,241,267
422	54
423	54,237
424	54,237
425	54,165,224,225,238,279
426	54,279
427	54,105,189
428	54
429	54,238,309
430	59,197
431	61,159
432	61,62,159,236,346
433	61,62,159,236
434	63,189
435	67,352
436	68
437	73,105,115,168
438	80,307
439	84
440	86,133
441	86,88,133,197,250
442	86,133
443	86
444	86,88
445	101
446	105,238
447	108,135,161
448	110
449	115,168
450	116,125,337
451	117
452	119,170
453	119,132,335
454	124,134
455	125
456	125
457	125,235
458	125
459	125,329
460	125
461	126,175,216
462	127
463	128
464	129,186,211
465	130
466	130,139,157,193,202,216,222,262
467	131
468	132,335
469	132,264,335
470	132,264,335
471	132,289,298
472	132,289
473	142,280
474	150
475	165,216
476	168
477	175
478	175
479	202
480	202
481	210,279
482	211
483	216,279
484	216
485	216
486	222
487	238,279
488	238
489	241,267
490	243
491	243
492	246
493	250
494	250
495	253,298
496	264
497	272
498	277,278
499	290
500	298
501	304
502	304
503	329
504	329
505	329
506	337
507	345,346
508	367,498
509	501
510	368,431,463
511	486
512	381,382,410,411,412,413,414,473,490,491,506
513	361
514	371
515	456
516	409
517	406
518	376,377,502,504,505
519	469,470,496
520	448,451,452,464
521	479
522	476
523	434
524	372,422,423,424
525	383,405,446
526	453,474
527	366,416,417,440,441,480
528	467
529	435
530	425
531	373,387,420,487
532	388,426
533	402
534	385
535	438,454,457
536	415
537	362,429,483,484,485
538	362,363
539	459,488
540	465
541	449
542	418,478
543	390,394
544	460
545	472
546	384,401,499
547	482
548	395
549	497
550	403
551	450
552	444
553	407
554	374,375
555	462
556	512,513
557	549
558	528
559	455,495,515,535
560	369,542
561	503,514
562	468,519
563	404,430,500,521
564	436,526
565	427,428,532
566	443,461,477,554
567	397,398,399,553
568	421,493,522
569	392,437,541
570	511
571	439,544
572	545
573	471,527,533,547
574	442,552
575	509,548,555
576	510
577	364,508
578	433,447,458,492,524,565,576,577
579	572
580	550,563
581	564
582	375,489,494,568
583	558,571
584	408,445,516,520,562
585	386,481,569
586	374,378,582
587	370,374,582
588	582
589	585
590	534,536,551,556,573,574,584
591	374,379,582
592	374,380,582
593	374,378,582
594	389,523,529,546,557,559,579,580,581,583,590
595	591
596	593
597	593
598	586
599	586
600	393,396,466,475,537,538,543,566,567,588,589
601	507,592
602	391,400,540,575,600
603	586,595
604	601
605	601
606	598,599
607	432,587,596,597,603,604,605,606
608	365,419,517,518,525,530,531,539,560,561,570,607
609	578,602,608
