node	children_node
361	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
362	0,15,165,224,225,249
363	0,15,165,224,225,279
364	0,165,224,225,238,279
365	0,165,238,279
366	3,255,281
367	3,255
368	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
369	3,255
370	5,53,263
371	5,28,151,280,304,313,332
372	5,333
373	6
374	6
375	6,175
376	6
377	6
378	6,10,54,165,224,225
379	6
380	6
381	6,10
382	6,51
383	6,130,282
384	6,130,282
385	6
386	6,51
387	6
388	6
389	6
390	6
391	7,165,224,225,238,292
392	9,305,328
393	9,274,305,317,328,329,339
394	9,274,305,328,329,339
395	9,30,90,105,168
396	9,14,53,168,212,226,305,328
397	9,125,305,328,332
398	10,81,99,165,210,224,225,279
399	10,165,224,225,238,279
400	10,54,165,189,224,226
401	10,189,249
402	10,63,189,226
403	10,105,124,208,292
404	10,28,55,151,189,226
405	10,168
406	12,13
407	14,90
408	14,40,53,63,68,92,305,329
409	15,216
410	15,55
411	15,168
412	15
413	15,216
414	15,105,115
415	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
416	15
417	15,126,127
418	15,216
419	15,216
420	15,216
421	15,216
422	15
423	15
424	15,279
425	15,127,168,216,281
426	18,141,155,201,303
427	18,303
428	22,189,226
429	23,27,138,336
430	28,333
431	30,63,68,168,238,279
432	30,168,279
433	30,263
434	31,49,124,279,292
435	31,279
436	31,105,165,224,279
437	31,279
438	31,279
439	31,49,279
440	31,49,165,224,279
441	31
442	31,71,124,279
443	31,49
444	31,49
445	31,317
446	31,40,49,93
447	31,92,168,189
448	32,69
449	38,277
450	40,105,255,281
451	40,47,90,94,95,101,132,212,260,268,289,300,327,335
452	40
453	40
454	40,47,256
455	47,317
456	47,305,328,344
457	49
458	49,189
459	51,139,154
460	51,68,175
461	51,168
462	52,80,124,292
463	52,124
464	53,329
465	53,168,238,241,267,279
466	53,168,241,267
467	53,55,125
468	54,93,105,124,279
469	54
470	54,237
471	54,237
472	54,165,224,225,238,279
473	54,279
474	54,105,189
475	54
476	54,238,309
477	55
478	60,75,80,155,201
479	61,159
480	61,62,159,236,346
481	61,62,159,236
482	61,236
483	63
484	65,279
485	66,79,97,134
486	73,105,279
487	73,105
488	73,105,115,168
489	73,305
490	74
491	74,126,127,279
492	74,279
493	74,165,224,279
494	74,279
495	74,105
496	74
497	74,279
498	74,279
499	74,127,204,218,305,328
500	76,189,240
501	78,166,183,221,258,306
502	81
503	81,99
504	81
505	81,99
506	81
507	81
508	81,99
509	81
510	81
511	81
512	81,99,279
513	81,99,165,224,279
514	81,99,279
515	81,165,224,279
516	81,279
517	81,279
518	81,279
519	81,279
520	81,165,224,279
521	81,279
522	81,279
523	81,165,224,279
524	81
525	85,305
526	86
527	87
528	103,151
529	105,115,168,279
530	105,250
531	105,238
532	105,265,332
533	105
534	105,165,216,224,225,279
535	105
536	105
537	105,165,224
538	108,135,161
539	108,135,260
540	110
541	115,168
542	115
543	115
544	115,168
545	124,177,254,259
546	124
547	124,168,292,304
548	125
549	125,164,293,295
550	125
551	125
552	125,248,256
553	125,248,256
554	125,329
555	126,175,216
556	127
557	128
558	130
559	130
560	130
561	130,139,157,193,202,216,222,262
562	137,156
563	141,205,231,232,233,302,358
564	151
