node	children_node
361	0,165,224,225,249
362	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
363	0,15,165,224,225,249
364	0,15,165,224,225,279
365	0,165,224,225,238,279
366	0,165,238,279
367	3,255,281
368	3,255
369	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
370	3,255
371	4,150,202
372	6
373	6
374	6,175
375	6
376	6
377	6,10,54,165,224,225
378	6
379	6
380	6,10
381	6,51
382	6,130,282
383	6,130,282
384	6
385	6,51
386	6
387	6
388	6
389	6
390	7
391	7,44,111,243
392	7,165,224,225,238,292
393	8,114
394	9,305,328
395	9,43,50,132,212,268,300,329,335
396	9,274,305,317,328,329,339
397	9,14,53,168,212,226,305,328
398	10,81,99,165,210,224,225,279
399	10,165,224,225,238,279
400	10,54,165,189,224,226
401	10,189,249
402	10,63,189,226
403	10,105,124,208,292
404	10,168
405	11,38,39,144,147,200,234,319,349,355
406	12,13
407	14,90
408	14,40,53,63,68,92,305,329
409	15,216
410	15,55
411	15,168
412	15
413	15,216
414	15,105,115
415	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
416	15
417	15,126,127
418	15,216
419	15,216
420	15,216
421	15,216
422	15
423	15
424	15,279
425	15,127,168,216,281
426	18,141,155,201,303
427	18,303
428	22
429	23,27,138,336
430	26
431	29,63,189
432	29
433	30,63,68,168,238,279
434	30,168,279
435	31,49,124,279,292
436	31,279
437	31,105,165,224,279
438	31,279
439	31,279
440	31,49,279
441	31,49,165,224,279
442	31
443	31,71,124,279
444	31,49
445	31,49
446	31,317
447	31,92,168,189
448	32,69
449	38,277
450	40,105,255,281
451	43
452	43,132,253,298,329
453	44,111,243
454	44,111,243
455	44,111,243
456	44,111,243
457	44,111,243
458	45,77
459	47,317
460	49
461	49,189
462	50
463	50
464	51,139,154
465	51,68,175
466	51,168
467	52,80,124,292
468	52,124
469	53,329
470	53,168,238,241,267,279
471	53,168,241,267
472	53,55,125
473	54,93,105,124,279
474	54
475	54,237
476	54,237
477	54,165,224,225,238,279
478	54,279
479	54,105,189
480	54
481	54,238,309
482	59,197
483	60,75,80,155,201
484	61,159
485	61,62,159,236,346
486	61,62,159,236
487	63,189
488	65,279
489	66,79,97,134
490	67,352
491	68
492	73,105,279
493	73,105
494	73,105,115,168
495	74
496	74,126,127,279
497	74,279
498	74,165,224,279
499	74,279
500	74,105
501	74
502	74,279
503	74,279
504	78,166,183,221,258,306
505	80,307
506	81
507	81,99
508	81
509	81,99
510	81
511	81
512	81,99
513	81
514	81
515	81
516	81,99,279
517	81,99,165,224,279
518	81,99,279
519	81,165,224,279
520	81,279
521	81,279
522	81,279
523	81,279
524	81,165,224,279
525	81,279
526	81,279
527	81,165,224,279
528	81
529	84
530	85,305
531	86,133
532	86,88,133,197,250
533	86,133
534	86
535	86,88
536	87
537	101
538	103,151
539	105,115,168,279
540	105,250
541	105,238
542	105,265,332
543	105
544	105,165,216,224,225,279
545	105,165,224
546	108,135,161
547	110
548	110
549	115,168
550	115
551	115
552	115,168
553	116,125,337
554	117
555	119,170
556	119,132,335
557	124,177,254,259
558	124,134
559	124
560	124,168,292,304
561	125
562	125
563	125
564	125,164,293,295
565	125,235
566	125
567	125
568	125,248,256
569	125,248,256
570	125,329
571	125
572	126,175,216
573	127
574	128
575	129,186,211
576	130
577	130
578	130
579	130,139,157,193,202,216,222,262
580	131
581	132,335
582	132,264,335
583	132,264,335
584	132,289,298
585	132,289
586	137,156
587	141,205,231,232,233,302,358
588	142,280
589	150
590	152,153,193,222,261,262,276
591	165,224
592	165,216
593	165,224,225
594	165,224,279
595	168
596	168,279
597	172
598	175
599	175
600	181,213
601	184
602	189,256
603	189
604	189,282,305
605	189
606	189,280,282
607	189
608	202
609	202
610	204
611	206
612	207,208
613	207,329
614	210,279
615	211
616	216,279
617	216
618	216
619	220,301,310,312
620	222
621	226
622	226
623	227
624	227
625	235,244
626	238,279
627	238
628	241
629	241,255
630	241,267
631	243
632	243
633	245,341
634	246
635	248,256
636	248,256
637	248
638	250
639	250
640	253,298
641	255,281
642	255
643	264
644	272
645	277,278
646	278
647	279
648	279
649	279
650	279
651	279
652	280
653	281
654	282
655	290
656	298
657	304
658	304
659	305
660	305
661	313
662	316
663	329
664	329
665	329
666	329
667	337
668	337
669	345,346
670	354
671	562
672	398,647
673	410,411
674	668
675	372,645
676	657
677	450,543,591,648
678	373,484,574
679	473
680	620
681	390,391,453,454,455,456,457,588,631,632,667
682	361
683	376
684	563
685	621,622
686	452
687	448
688	540
689	385,386,658,665,666
690	549,550
691	436,437,438,439,442
692	544
693	597
694	508
695	510,511
696	507,509
697	469,536
698	582,583,643
699	378,379
700	612
701	635,660
702	547,554,555,575
703	608
704	367,396
705	368
706	595
707	362
708	604,636,652
709	487
710	377,474,475,476
711	392,433,541
712	624,628,629
713	556,589
714	371,462,463,531,532,609
715	580
716	490
717	477
718	530,659
719	380,399,470,626
720	557
721	492,493
722	625,662
723	406,464,586,590,600
724	483,489,504,611
725	400,478
726	430
727	587,670
728	401
729	395
730	468
731	633
732	505,558,565
733	458
734	402,403
