node	children_node
361	0,165,224,225,249
362	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
363	0,15,165,224,225,249
364	3,255,281
365	3,255
366	3,255
367	4,150,202
368	6
369	6
370	6,130,282
371	6,130,282
372	7
373	7,44,111,243
374	8,114
375	9,305,328
376	9,43,50,132,212,268,300,329,335
377	9,274,305,317,328,329,339
378	9,14,53,168,212,226,305,328
379	10,81,99,165,210,224,225,279
380	10,189,249
381	10,63,189,226
382	10,105,124,208,292
383	10,168
384	11,38,39,144,147,200,234,319,349,355
385	12,13
386	14,90
387	14,40,53,63,68,92,305,329
388	15,55
389	15,168
390	15,216
391	15,105,115
392	15
393	15
394	15,279
395	18,141,155,201,303
396	18,303
397	22
398	23,27,138,336
399	26
400	29,63,189
401	29
402	30,168,279
403	31,49,124,279,292
404	31,279
405	31,105,165,224,279
406	31,279
407	31,279
408	31,49,279
409	31,49,165,224,279
410	31
411	31,71,124,279
412	31,49
413	31,49
414	31,317
415	31,92,168,189
416	40,105,255,281
417	43
418	43,132,253,298,329
419	44,111,243
420	44,111,243
421	44,111,243
422	44,111,243
423	44,111,243
424	45,77
425	47,317
426	49
427	49,189
428	50
429	50
430	51,139,154
431	52,80,124,292
432	52,124
433	53,329
434	53,55,125
435	54,93,105,124,279
436	59,197
437	60,75,80,155,201
438	63,189
439	65,279
440	66,79,97,134
441	67,352
442	68
443	73,105,279
444	73,105
445	73,105,115,168
446	74
447	74,126,127,279
448	74,279
449	74,165,224,279
450	74,279
451	74,105
452	74
453	74,279
454	74,279
455	78,166,183,221,258,306
456	80,307
457	81
458	81,99
459	81
460	81,99
461	81
462	81
463	81,99
464	81
465	81
466	81
467	81,99,279
468	81,99,165,224,279
469	81,99,279
470	81,165,224,279
471	81,279
472	81,279
473	81,279
474	81,279
475	81,165,224,279
476	81,279
477	81,279
478	81,165,224,279
479	81
480	84
481	85,305
482	86,133
483	86,88,133,197,250
484	86,133
485	86,88
486	87
487	101
488	103,151
489	105,115,168,279
490	105,250
491	105,265,332
492	105
493	105,165,216,224,225,279
494	105,165,224
495	110
496	110
497	115,168
498	115
499	115
500	115,168
501	116,125,337
502	117
503	119,170
504	119,132,335
505	124,177,254,259
506	124,134
507	124
508	124,168,292,304
509	125
510	125
511	125
512	125,164,293,295
513	125,235
514	125
515	125,248,256
516	125,248,256
517	125
518	129,186,211
519	130
520	130
521	131
522	132,335
523	132,264,335
524	132,264,335
525	132,289,298
526	132,289
527	137,156
528	141,205,231,232,233,302,358
529	142,280
530	150
531	152,153,193,222,261,262,276
532	165,224
533	165,224,225
534	165,224,279
535	168
536	168,279
537	172
538	181,213
539	184
540	189,256
541	189
542	189,282,305
543	189
544	189,280,282
545	189
546	202
547	202
548	204
549	206
550	207,208
551	207,329
552	211
553	220,301,310,312
554	226
555	226
556	227
557	227
558	235,244
559	241
560	241,255
561	243
562	243
563	245,341
564	248,256
565	248,256
566	248
567	250
568	253,298
569	255,281
570	255
571	264
572	272
573	278
574	279
575	279
576	279
577	279
578	279
579	280
580	281
581	282
582	290
583	298
584	305
585	305
586	313
587	316
588	329
589	337
590	337
591	354
592	510
593	379,574
594	388,389
595	590
596	416,492,532,575
597	435
598	372,373,419,420,421,422,423,529,561,562,589
599	361
600	511
601	554,555
602	418
603	490
604	497,498
605	404,405,406,407,410
606	493
607	537
608	459
609	461,462
610	458,460
611	433,486
612	523,524,571
613	368,369
614	550
615	564,585
616	495,502,503,518
617	546
618	364,377
619	365
620	535
621	362
622	542,565,579
623	438
624	557,559,560
625	504,530
626	367,428,429,482,483,547
627	521
628	441
629	481,584
630	505
631	443,444
632	558,587
633	385,430,527,531,538
634	437,440,455,549
635	399
636	528,591
637	380
638	376
639	432
640	563
641	456,506,513
642	424
643	381,382
644	580
645	514,515,516
646	386
647	566
648	463,467,468,469
649	464,470,471,472
650	465,473,474,475
651	466,476,477,478
652	489
653	489
654	489
655	489
656	500
657	378,544,581
658	517
659	526
660	374,397,582
661	552
662	370,371,519,520
663	411
664	413,414,425,488,543
665	427
666	451,452,453
667	572
668	400
669	501
670	534,576,577,586
671	363,392,393,394
672	383,415
673	570
674	366,545,551
675	485
676	494,578
677	592
678	403,408,409,412,413,426,665
679	540,541,621,657
680	598,599
681	667
682	627
683	509,568,600,641
684	573,629
685	499,603,604
686	375,569,613,624
687	522,612
688	614,643
689	396,402,491,508,646
690	401,436,583,617
691	567,620
692	442,625
693	496,630
694	593
695	398,539,633,634,636,640
696	507,639
697	595,663
698	644,645,647
699	479,610,648,652
700	609,649,653
701	608,650,654
702	457,651,655
703	391,445,656
704	446,447,448,449,450,454,666
705	480,658
706	659
707	536,593
708	387,672
709	525,626,635,661
710	631
711	664
712	588,673
713	484,675
714	677
715	706
716	611,618,619,674,712
717	533,607,685,691
718	699,700,701,702
719	689
720	615,622,696
721	668,690
722	692
723	439,694
724	553,632,695
725	594,703
726	682,705
727	662,686
728	707
729	417,487,602,616,687
730	708
731	684
732	714
733	714
734	670,676,717
735	723
736	638,642,669,680,709,713,729
737	434,725
738	732
739	384,623,628,660,681,683,715,721,722,726,736
740	679,733
741	596,597,605,606,678,688,704,718,728,734,735
742	738
743	512,548,742
744	693,743
745	395,431,637,697,744
746	724,745
747	390,556,601,671,698,710,711,716,719,720,727,730,731,737,740,741,746
