node	children_node
361	0,165,224,225,249
362	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
363	0,15,165,224,225,249
364	3,255,281
365	3,255
366	3,255
367	4,150,202
368	5,53,263
369	5,28,151,280,304,313,332
370	5,333
371	6
372	6
373	6,130,282
374	6,130,282
375	7
376	7,44,111,243
377	8,114
378	9,305,328
379	9,43,50,132,212,268,300,329,335
380	9,274,305,317,328,329,339
381	9,274,305,328,329,339
382	9,30,90,105,168
383	9,14,53,168,212,226,305,328
384	9,125,305,328,332
385	10,81,99,165,210,224,225,279
386	10,189,249
387	10,63,189,226
388	10,105,124,208,292
389	10,28,55,151,189,226
390	10,168
391	11,38,39,144,147,200,234,319,349,355
392	12,13
393	14,90
394	14,40,53,63,68,92,305,329
395	15,55
396	15,168
397	15,216
398	15,105,115
399	15
400	15
401	15,279
402	18,141,155,201,303
403	18,303
404	22,189,226
405	22
406	23,27,138,336
407	26
408	28,333
409	29,63,189
410	29
411	30,168,279
412	30,263
413	31,49,124,279,292
414	31,279
415	31,105,165,224,279
416	31,279
417	31,279
418	31,49,279
419	31,49,165,224,279
420	31
421	31,71,124,279
422	31,49
423	31,49
424	31,317
425	31,40,49,93
426	31,92,168,189
427	40,105,255,281
428	40,47,90,94,95,101,132,212,260,268,289,300,327,335
429	40
430	40
431	40,47,256
432	43
433	43,132,253,298,329
434	44,111,243
435	44,111,243
436	44,111,243
437	44,111,243
438	44,111,243
439	45,77
440	47,317
441	47,305,328,344
442	49
443	49,189
444	50
445	50
446	51,139,154
447	52,80,124,292
448	52,124
449	53,329
450	53,55,125
451	54,93,105,124,279
452	55
453	59,197
454	60,75,80,155,201
455	61,236
456	63,189
457	63
458	65,279
459	66,79,97,134
460	67,352
461	68
462	73,105,279
463	73,105
464	73,105,115,168
465	73,305
466	74
467	74,126,127,279
468	74,279
469	74,165,224,279
470	74,279
471	74,105
472	74
473	74,279
474	74,279
475	74,127,204,218,305,328
476	76,189,240
477	78,166,183,221,258,306
478	80,307
479	81
480	81,99
481	81
482	81,99
483	81
484	81
485	81,99
486	81
487	81
488	81
489	81,99,279
490	81,99,165,224,279
491	81,99,279
492	81,165,224,279
493	81,279
494	81,279
495	81,279
496	81,279
497	81,165,224,279
498	81,279
499	81,279
500	81,165,224,279
501	81
502	84
503	85,305
504	86,133
505	86,88,133,197,250
506	86,133
507	86,88
508	87
509	101
510	103,151
511	105,115,168,279
512	105,250
513	105,265,332
514	105
515	105,165,216,224,225,279
516	105
517	105
518	105,165,224
519	108,135,260
520	110
521	110
522	115,168
523	115
524	115
525	115,168
526	116,125,337
527	117
528	119,170
529	119,132,335
530	124,177,254,259
531	124,134
532	124
533	124,168,292,304
534	125
535	125
536	125
537	125,164,293,295
538	125,235
539	125
540	125,248,256
541	125,248,256
542	125
543	129,186,211
544	130
545	130
546	131
547	132,335
548	132,264,335
549	132,264,335
550	132,289,298
551	132,289
552	137,156
553	141,205,231,232,233,302,358
554	142,280
555	150
556	151
557	152,153,193,222,261,262,276
558	165,224
559	165,224,225
560	165,224,279
561	168
562	168,279
563	172
564	175,271
565	181,213
566	184
567	189,256
568	189
569	189,282,305
570	189
571	189
572	189,280,282
573	189
574	189
575	202
576	202
577	204
578	206
579	207,208
580	207,329
581	211
582	212
583	220,301,310,312
584	226
585	226
586	227
587	227
588	235,244
589	241
590	241,255
591	243
592	243
593	245,341
594	248,256
595	248,256
596	248
597	250
598	253,298
599	255,281
600	255
601	256
602	263
603	263
604	263,305,328
605	263
606	263,305,328,333
607	263
608	263
609	263
610	263
611	263
612	263
613	264
614	272
615	274
616	274
617	278
618	279
619	279
620	279
621	279
622	279
623	280
624	280
625	281
626	282
627	290
628	298
629	304
630	305
631	305,328,333
632	305
633	305
634	313
635	316
636	329
637	329
638	329
639	329
640	329
641	329
642	329,331,344
643	331
644	337
645	337
646	347
647	354
648	535
649	385,618
650	395,396
651	645
652	427,514,558,619
653	451
654	375,376,434,435,436,437,438,554,591,592,644
655	361
656	536
657	584,585
658	433
659	512
660	522,523
661	414,415,416,417,420
662	515
663	563
664	481
665	483,484
666	480,482
667	449,508
668	548,549,613
669	371,372
670	579
671	594,632
672	520,527,528,543
673	575
674	364,380
675	365
676	561
677	362
678	569,595,623
679	456
680	587,589,590
681	457
682	529,555
683	367,444,445,504,505,576
684	546
685	460
686	503,630
687	530
688	462,463
689	588,635
690	392,446,552,557,565
691	454,459,477,578
692	407
693	553,647
694	386
695	379
696	448
697	593
698	478,531,538
699	439
700	387,388
701	601,631
702	604,643
703	625
704	539,540,541
705	393
706	596
707	564,636
708	485,489,490,491
709	486,492,493,494
710	487,495,496,497
711	488,498,499,500
712	511
713	511
714	511
715	511
716	525
717	452,556
718	629
719	389
720	383,572,626
721	542
722	551
723	377,405,627
724	606,607
725	581
726	373,374,544,545
727	602,603
728	608,611
729	421
730	423,424,440,510,571
731	443
732	425,637,646
733	471,472,473
734	517,519,616,639
735	412,429,430,455,465,516,624,638
736	382,615
737	614
738	409
739	526
740	384,475,582,633
741	560,620,621,634
742	363,399,400,401
743	390,426
744	600
745	366,573,580
746	507
747	518,622
748	441,574,641,642
749	648
