node	children_node
361	0,165,224,225,249
362	4,150,202
363	5,53,263
364	5,28,151,280,304,313,332
365	5,333
366	7
367	7,44,111,243
368	8,114
369	9,43,50,132,212,268,300,329,335
370	9,274,305,328,329,339
371	9,30,90,105,168
372	9,125,305,328,332
373	10,28,55,151,189,226
374	11,38,39,144,147,200,234,319,349,355
375	22,189,226
376	22
377	26
378	28,333
379	29,63,189
380	29
381	30,263
382	31,40,49,93
383	40,47,90,94,95,101,132,212,260,268,289,300,327,335
384	40
385	40
386	40,47,256
387	43
388	43,132,253,298,329
389	44,111,243
390	44,111,243
391	44,111,243
392	44,111,243
393	44,111,243
394	45,77
395	47,305,328,344
396	50
397	50
398	55
399	59,197
400	61,236
401	63,189
402	63
403	67,352
404	68
405	73,305
406	74,127,204,218,305,328
407	76,189,240
408	80,307
409	84
410	85,305
411	86,133
412	86,88,133,197,250
413	86,133
414	86,88
415	101
416	105
417	105
418	108,135,260
419	110
420	116,125,337
421	117
422	119,170
423	119,132,335
424	124,134
425	125
426	125
427	125,235
428	125
429	129,186,211
430	131
431	132,335
432	132,264,335
433	132,264,335
434	132,289,298
435	132,289
436	142,280
437	150
438	151
439	175,271
440	189
441	189
442	202
443	202
444	211
445	212
446	243
447	243
448	253,298
449	256
450	263
451	263
452	263,305,328
453	263
454	263,305,328,333
455	263
456	263
457	263
458	263
459	263
460	263
461	264
462	272
463	274
464	274
465	280
466	290
467	298
468	304
469	305
470	305,328,333
471	305
472	329
473	329
474	329
475	329
476	329
477	329,331,344
478	331
479	337
480	347
481	366,367,389,390,391,392,393,436,446,447,479
482	361
483	426
484	388
485	432,433,461
486	419,421,422,429
487	442
488	401
489	402
490	423,437
491	362,396,397,411,412,443
492	430
493	403
494	410,469
495	377
496	369
497	408,424,427
498	394
499	449,470
500	452,478
501	439,472
502	398,438
503	468
504	373
505	428
506	435
507	368,376,466
508	454,455
509	444
510	450,451
511	456,459
512	382,473,480
513	417,418,464,475
514	381,384,385,400,405,416,465,474
515	371,463
516	462
517	379
518	420
519	372,406,445,471
520	414
521	395,441,476,477
522	481,482
523	516
524	492
525	425,448,483,497
526	431,485
527	380,399,467,487
528	404,490
529	499,500
530	364,378,440,503,504
531	409,505
532	506
533	458,508
534	386,407,515
535	434,491,495,509
536	413,520
537	532
538	517,527
539	528
540	363,375,501,502,530
541	524,531
542	387,415,484,486,526
543	365,370,383,494,512,513,514,519,521,534,540
544	496,498,518,522,535,536,542
545	374,488,493,507,523,525,537,538,539,541,544
546	453,457,460,510,511,543
547	489,529,533,546
