node	children_node
361	0,15,165,224,225,279
362	0,165,224,225,238,279
363	0,165,238,279
364	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
365	5,53,263
366	5,28,151,280,304,313,332
367	5,333
368	6
369	6
370	6,175
371	6
372	6
373	6,10,54,165,224,225
374	6,10
375	6,51
376	6
377	6,51
378	6
379	6
380	6
381	6
382	7,165,224,225,238,292
383	9,274,305,328,329,339
384	9,30,90,105,168
385	9,125,305,328,332
386	10,81,99,165,210,224,225,279
387	10,165,224,225,238,279
388	10,54,165,189,224,226
389	10,28,55,151,189,226
390	15,216
391	15
392	15,105,115
393	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
394	15
395	15,126,127
396	15,216
397	15,216
398	15,216
399	15,216
400	15,127,168,216,281
401	22,189,226
402	28,333
403	30,63,68,168,238,279
404	30,263
405	31,40,49,93
406	32,69
407	38,277
408	40,47,90,94,95,101,132,212,260,268,289,300,327,335
409	40
410	40
411	40,47,256
412	47,305,328,344
413	51,68,175
414	51,168
415	53,168,238,241,267,279
416	53,168,241,267
417	54
418	54,237
419	54,237
420	54,165,224,225,238,279
421	54,279
422	54,105,189
423	54
424	54,238,309
425	55
426	61,159
427	61,62,159,236,346
428	61,62,159,236
429	61,236
430	63
431	73,105,115,168
432	73,305
433	74,127,204,218,305,328
434	76,189,240
435	85,305
436	86
437	105,238
438	105
439	105
440	108,135,161
441	108,135,260
442	115,168
443	125
444	125,329
445	126,175,216
446	127
447	128
448	130
449	130,139,157,193,202,216,222,262
450	151
451	165,216
452	168
453	175
454	175,271
455	175
456	189
457	189
458	210,279
459	212
460	216,279
461	216
462	216
463	222
464	238,279
465	238
466	241,267
467	246
468	250
469	250
470	256
471	263
472	263
473	263,305,328
474	263
475	263,305,328,333
476	263
477	263
478	263
479	263
480	263
481	263
482	274
483	274
484	277,278
485	280
486	304
487	304
488	304
489	305
490	305,328,333
491	305
492	329
493	329
494	329
495	329
496	329
497	329
498	329
499	329
500	329,331,344
501	331
502	345,346
503	347
504	368,484
505	486
506	369,426,447
507	463
508	372
509	406
510	377,378,488,497,498
511	452
512	373,417,418,419
513	382,403,437
514	430
515	420
516	435,489
517	374,387,415,464
518	388,421
519	361,424,460,461,462
520	361,362
521	470,490
522	473,501
523	444,465
524	454,493
525	448
526	442
527	413,455
528	390,394
529	425,450
530	487
531	389
532	475,476
533	471,472
534	477,480
535	395
536	405,494,503
537	439,441,483,496
538	404,409,410,429,432,438,485,495
539	384,482
540	385,433,459,491
541	407
542	375,376
543	446
544	412,457,499,500
545	370,527
546	492,508
547	521,522
548	422,423,518
549	436,445,453,542
550	397,398,399,541
551	416,468,511
552	366,402,456,530,531
553	392,431,526
554	507
555	479,532
556	411,434,539
557	505,535,543
558	506
559	363,504
560	428,440,443,467,512,548,558,559
561	365,401,524,529,552
562	376,466,469,551
563	386,458,553
564	375,379,562
565	371,375,562
566	367,383,408,516,536,537,538,540,544,556,561
567	562
568	563
569	375,380,562
570	375,381,562
571	375,379,562
572	569
573	571
574	571
575	564
576	564
577	393,396,449,451,519,520,528,549,550,567,568
578	474,478,481,533,534,566
579	502,570
580	391,400,525,557,577
581	564,572
582	579
583	579
584	575,576
585	514,547,555,578
586	427,565,573,574,581,582,583,584
587	364,414,509,510,513,515,517,523,545,546,554,586
588	560,580,587
