node_name	children_node_name
R-HSA-912526	P62993,P42338,P42336,P27986,O60674,O00329
R-HSA-912631	P62993,P43405,P42338,P42336,P27986,O00329
R-HSA-983695	P62993,P43405,P27986,O00329
R-HSA-6798695	Q9UHL4,Q16769,Q13464,Q05655,P62937,P55072,P49768,P42785,P28482,P25774,P25105,P25090,P25025,P25024,P22894,P21462,P20701,P15144,P14780,P09960,P09917,P09211,P08473,P08246,P08238,P07900,P07858,P07384,P04066,P00749,O14672
R-HSA-1169091	O14920
R-HSA-1236974	O14920
R-HSA-168638	P29466,O14920
R-HSA-168927	O14920
R-HSA-1810476	O14920
R-HSA-202424	P42338,P42336,P27986,P06239,O15530,O14920
R-HSA-2871837	O15530,O14920
R-HSA-445989	P05067,O14920
R-HSA-5684264	O14920
R-HSA-933542	P05067,O14920
R-HSA-933543	O14920
R-HSA-937039	O14920
R-HSA-937041	O14920
R-HSA-975144	O14920
R-HSA-2029485	Q05655,P43405,P42338,P42336,P27986,O14939
R-HSA-109704	P62993,P42338,P42336,P36888,P27986,P11362,P09038,O15530
R-HSA-2730905	P62993,P43405,P42338,P42336,P27986,O15530
R-HSA-389357	P42345,P42336,P31749,P27986,P06239,O15530
R-HSA-1059683	P40763,O60674
R-HSA-1170546	O60674
R-HSA-5673000	P15056,P12931,O60674
R-HSA-6785807	Q16665,Q07817,P51449,P41143,P40763,P35372,P35354,P31749,P27986,P21453,P21397,P14780,P11309,P10415,P09917,P09038,P08254,P08253,P07900,P03956,O60674
R-HSA-6788467	O60674
R-HSA-877312	P18031,P17706,O60674
R-HSA-8854691	P40763,O60674
R-HSA-8984722	P40763,O60674
R-HSA-9020933	P40763,O60674
R-HSA-9020956	P40763,O60674
R-HSA-982772	P78536,P40763,P28482,P18031,O60674
R-HSA-2029482	P62993,P43405,P28482,P08238,P07900,P00519
R-HSA-977606	P08246,P00734
R-HSA-8950505	P62937,P00915
R-HSA-844456	P29466,P08238,P05067
R-HSA-879415	P28482,P05067
R-HSA-2871796	P62993,P53779,P45983,P43405,P28482,P05412
R-HSA-450341	P53779,P45983,P28482,P05412
R-HSA-202427	P06239
R-HSA-202430	P43403,P06239
R-HSA-202433	P43403,P06239
R-HSA-2424491	P62993,P43405,P42338,P42336,P27986,P06239
R-HSA-389359	P62993,P06239
R-HSA-389513	P31749,P12931,P06239
R-HSA-389948	P06239
R-HSA-9020558	Q14289,P43405,P06239
R-HSA-1236977	P25774,P07711
R-HSA-1679131	Q9NYK1,P43235,P25774,P07858,P07711
R-HSA-2132295	P43235,P25774,P07858,P07711
R-HSA-5674135	P28482,P15056,P12931,P08514
R-HSA-9012546	P09917
R-HSA-2029481	P43405,P12931
R-HSA-198933	P26010,P20701,P13612
R-HSA-5674499	P28482,P15056
R-HSA-392517	P17612
R-HSA-5621575	Q92793,P17612
R-HSA-9008059	P40763,P29466,P17706
R-HSA-912694	P18031
R-HSA-1236973	P18084
R-HSA-5669034	P19438
R-HSA-6783783	P51681,P41597,P40763,P35354,P32246,P25105,P21462,P19438
R-HSA-1266695	P40763,P27986
R-HSA-202670	P28482
R-HSA-448706	P29466
R-HSA-844623	P29466
R-HSA-9645135	P62993,P36888
R-HSA-8983432	P62993,P40763
R-HSA-8985947	P40763
R-HSA-9020958	P40763
R-HSA-1461957	P41597
R-HSA-2871809	P62993,P43405
R-HSA-5621480	P43405
