node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	53
362	27
363	22
364	95
365	480
366	15
367	65
368	92
369	34
370	67
371	153
372	35
373	19
374	17
375	116
376	167
377	32
378	16
379	24
380	12
381	14
382	23
383	14
384	8
385	39
386	114
387	14
388	117
389	28
390	24
391	31
392	44
393	102
394	22
395	36
396	12
397	11
398	15
399	30
400	111
401	17
402	14
403	25
404	12
405	9
406	11
407	24
408	86
409	14
410	11
411	19
412	10
413	17
414	150
415	99
416	13
417	135
418	37
419	53
420	6
421	6
422	73
423	25
424	42
425	27
426	22
427	29
428	17
429	18
430	46
431	30
432	8
433	9
434	16
435	13
436	118
437	10
438	41
439	38
440	52
441	29
442	12
443	21
444	42
445	12
446	18
447	21
448	79
449	13
450	140
451	8
452	11
453	29
454	5
455	7
456	40
457	66
458	17
459	8
460	28
461	34
462	23
463	9
464	21
465	6
466	8
467	5
468	11
469	101
470	17
471	55
472	297
473	6
474	6
475	6
476	24
477	12
478	9
479	27
480	10
481	5
482	18
483	43
484	16
485	21
486	12
487	21
488	25
489	8
490	11
491	29
492	45
493	12
494	16
495	24
496	15
497	14
498	16
499	28
500	12
501	14
502	25
503	13
504	8
505	12
506	5
507	14
508	12
509	19
510	6
511	7
512	24
513	5
514	14
515	9
516	10
517	39
518	117
519	61
520	22
521	6
522	9
523	12
524	7
525	23
526	8
527	60
528	61
529	33
530	75
531	84
532	47
533	60
534	47
535	47
536	31
537	47
538	27
539	14
540	13
541	5
542	9
543	9
544	37
545	12
546	11
547	76
548	9
549	34
550	32
551	45
552	8
553	5
554	20
555	12
556	7
557	14
558	14
559	28
560	16
561	10
562	37
563	8
564	14
565	5
566	81
567	85
568	169
569	49
570	129
571	84
572	21
573	34
574	55
575	146
576	77
577	34
578	34
579	31
580	22
581	15
582	137
583	175
584	106
585	65
586	59
587	17
588	10
589	46
590	44
591	217
592	33
593	29
594	119
595	79
596	90
597	44
598	48
599	75
600	78
601	173
602	44
603	101
604	40
605	24
606	24
607	49
608	30
609	37
610	72
611	31
612	373
613	79
614	37
615	61
616	47
617	172
618	36
619	96
620	207
621	31
622	23
623	19
624	38
625	60
626	6
627	46
628	102
629	136
630	66
631	212
632	100
633	124
634	109
635	58
636	63
637	43
638	124
639	105
640	117
641	88
642	139
643	56
644	31
645	160
646	247
647	95
648	92
649	55
650	80
651	120
652	178
653	19
654	283
655	441
656	175
657	941
658	175
659	190
660	221
661	365
662	63
663	294
664	150
665	265
666	96
667	93
668	1193
669	71
670	288
671	741
672	97
673	90
674	85
675	2114
676	97
677	85
678	85
679	99
680	96
681	620
682	1315
683	91
684	927
685	129
686	95
687	91
688	99
689	1453
690	156
691	1183
692	2340
