node_name	children_node_name
R-HSA-1660499	P48736,P42338,P42336,P27986,O00329
R-HSA-6811558	Q9NWZ3,Q92731,P62993,P42338,P42336,P31749,P28482,P27986,P12931,P11362,P10721,P09038,P08581,P06239,P04626,P03372,P00533,O00329
R-HSA-9027276	P48736,P42338,P42336,P27986,O60674,O00329
R-HSA-2122948	P78536,P49768,O14672
R-HSA-2979096	P49768,O14672
R-HSA-9013700	P49768,O14672
R-HSA-2162123	P35354,P24557,O14684
R-HSA-209543	O14920
R-HSA-209560	O14920
R-HSA-5357905	P98170,P19438,O14920
R-HSA-5357956	P98170,P19438,O14920
R-HSA-1483148	O14939
R-HSA-1483166	P47712,P14555,P04054,O14939
R-HSA-71240	P14902,O15229
R-HSA-193670	Q92769,Q13547,O15379
R-HSA-1989781	Q96RI1,Q92793,Q13133,P55055,P37231,P19793,P04798,P04035,O15379
R-HSA-2122947	Q9BY41,Q92793,Q92769,Q16665,Q13547,P56524,O15379
R-HSA-8943724	Q92769,Q13547,P42345,P37231,P28482,P05412,O60341,O15379
R-HSA-109704	P62993,P42338,P42336,P36888,P27986,P11362,P09038,O15530
R-HSA-392451	P48736,P31749,O15530
R-HSA-5218920	P42345,P31749,P07900,O15530
R-HSA-5218921	Q05655,P35968,P17252,P12931,O15530
R-HSA-9634635	P28482,O15530
R-HSA-1475029	Q9Y2D0,Q9ULX7,Q16790,P43166,P35218,P23280,P22748,P00918,P00915,O43570
R-HSA-389397	O43614,O43613
R-HSA-5625886	P10275,O60341
R-HSA-9018519	Q92793,Q13547,P10415,P08238,P07900,P05412,P03372,O60341
R-HSA-110056	P06493,O60674
R-HSA-112411	P28482,O60674
R-HSA-2586552	P40763,O60674
R-HSA-5673000	P15056,P12931,O60674
R-HSA-9027277	O60674
R-HSA-9027283	O60674
R-HSA-9027284	P62993,O60674
R-HSA-416482	Q13464,P35348,P25100,P21731,O75116
R-HSA-5627117	Q13464,O75116
R-HSA-8964539	O94925
R-HSA-419408	Q99500,P21453,O95977,O95136
R-HSA-390247	O95822
R-HSA-1474151	P31749,P07900,P00374
R-HSA-196757	P00374
R-HSA-5663213	P62993,P28482,P00519
R-HSA-1250196	Q05655,P62993,P17252,P04626,P00533
R-HSA-179812	P62993,P00533
R-HSA-180292	P62993,P42336,P27986,P12931,P00533
R-HSA-180336	P62993,P00533
R-HSA-182971	P62993,P00533
R-HSA-1963640	P62993,P04626,P00533
R-HSA-1963642	P62993,P42336,P27986,P04626,P00533
R-HSA-212718	P00533
R-HSA-2179392	P62993,P17252,P08254,P00533
R-HSA-6785631	P04626,P00533
R-HSA-8847993	P04626,P00533
R-HSA-8857538	Q16665,P00533
R-HSA-9634638	P31749,P28482,P10415,P00533
R-HSA-1251985	P78536,P49768,P12931,P03372
R-HSA-191273	P04035
R-HSA-2426168	Q92793,Q13085,P49327,P19793,P04035
R-HSA-1482788	P47712,P14555,P04054
R-HSA-1482801	P47712,P14555,P04054
R-HSA-1482839	P47712,P14555,P04054
R-HSA-1482922	P47712,P14555,P04054
R-HSA-1482925	P47712,P14555,P04054
R-HSA-1660662	P08842,P04062
R-HSA-8849473	Q16665,P04150
R-HSA-1306955	P04626
R-HSA-1358803	P31749,P04626
R-HSA-2142670	P04798
R-HSA-2142816	P04798
R-HSA-444473	P25090,P21462,P05067
R-HSA-418597	Q05655,P17252,P08913,P05129
R-HSA-5099900	P17252,P05129
R-HSA-1912408	Q92793,P05412
R-HSA-5687128	P17612,P06493,P05412
R-HSA-1433559	P62993,P17252,P12931,P10721,P06239
R-HSA-196741	P33527,P07477
R-HSA-390696	P35348,P25100,P08913,P08588,P07550
R-HSA-203615	P31749,P07900
R-HSA-2428933	P62993,P08069
R-HSA-390648	P20309,P11229,P08912,P08172
