node_name	children_node_name
R-HSA-75105	R-HSA-75876
R-HSA-75955	R-HSA-113418,R-HSA-112382
R-HSA-76042	R-HSA-75953,R-HSA-73776
R-HSA-8864260	R-HSA-8866911,R-HSA-8866910,R-HSA-8866907
R-HSA-8878159	R-HSA-8951936,R-HSA-8949275,R-HSA-8941858,R-HSA-8941856
R-HSA-8878171	R-HSA-8939256,R-HSA-8939246,R-HSA-8939243,R-HSA-8939242,R-HSA-8939236,R-HSA-8936459,R-HSA-8934593,R-HSA-8931987
R-HSA-8941326	R-HSA-8941284,R-HSA-8940973
R-HSA-8956321	R-HSA-74217
R-HSA-8978934	R-HSA-1474151
R-HSA-8979227	R-HSA-163560
R-HSA-8986944	R-HSA-9022707,R-HSA-9022702,R-HSA-9022699,R-HSA-9022692
R-HSA-9018679	R-HSA-9018896
R-HSA-9614085	R-HSA-9617629,R-HSA-9615017,R-HSA-9614657,R-HSA-9614399
R-HSA-1483257	R-HSA-1483255,R-HSA-1483206
R-HSA-15869	R-HSA-8956321
R-HSA-1630316	R-HSA-2142845
R-HSA-163685	R-HSA-422356,R-HSA-163765,R-HSA-163359,R-HSA-163358
R-HSA-194068	R-HSA-192105,R-HSA-159418
R-HSA-196849	R-HSA-196807,R-HSA-196780,R-HSA-196757,R-HSA-196741
R-HSA-211945	R-HSA-8937144,R-HSA-211897
R-HSA-212165	R-HSA-5250941,R-HSA-5250913
R-HSA-5633007	R-HSA-6806003,R-HSA-6804760,R-HSA-6804759,R-HSA-6804758,R-HSA-6804756
R-HSA-70326	R-HSA-70263,R-HSA-70171
R-HSA-71406	R-HSA-70268
R-HSA-73864	R-HSA-73863,R-HSA-73854
R-HSA-8878166	R-HSA-8941332,R-HSA-8941326,R-HSA-8939902
R-HSA-8978868	R-HSA-75105,R-HSA-390918,R-HSA-2142753,R-HSA-200425
R-HSA-9018678	R-HSA-9018679,R-HSA-2142700
R-HSA-1428517	R-HSA-71406
R-HSA-196854	R-HSA-8978934,R-HSA-196849
R-HSA-211859	R-HSA-211945
R-HSA-3700989	R-HSA-6796648,R-HSA-6791312,R-HSA-5633008,R-HSA-5633007,R-HSA-5628897
R-HSA-71387	R-HSA-70326,R-HSA-1630316
R-HSA-8957322	R-HSA-196791,R-HSA-196071,R-HSA-194068,R-HSA-191273,R-HSA-1655829
R-HSA-212436	R-HSA-9614085,R-HSA-8986944,R-HSA-8953750,R-HSA-8878171,R-HSA-8878166,R-HSA-8878159,R-HSA-8864260,R-HSA-383280,R-HSA-3700989,R-HSA-350054,R-HSA-2173793
R-HSA-556833	R-HSA-9018678,R-HSA-8979227,R-HSA-8978868,R-HSA-8957322,R-HSA-428157,R-HSA-400206,R-HSA-1483257
R-HSA-1430728	R-HSA-71387,R-HSA-71291,R-HSA-556833,R-HSA-2161522,R-HSA-211859,R-HSA-202131,R-HSA-196854,R-HSA-163685,R-HSA-15869,R-HSA-1475029,R-HSA-1428517
R-HSA-73857	R-HSA-77075,R-HSA-76042,R-HSA-75955,R-HSA-73779,R-HSA-674695,R-HSA-212436
R-HSA-74160	R-HSA-73864,R-HSA-73857,R-HSA-212165,R-HSA-211000
