node	children_node
361	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
362	0,15,165,224,225,249
363	3,255,281
364	3,255
365	3,255
366	5,53,263
367	5,28,151,280,304,313,332
368	5,333
369	6
370	6
371	6,130,282
372	6,130,282
373	9,305,328
374	9,274,305,317,328,329,339
375	9,274,305,328,329,339
376	9,30,90,105,168
377	9,14,53,168,212,226,305,328
378	9,125,305,328,332
379	10,81,99,165,210,224,225,279
380	10,189,249
381	10,63,189,226
382	10,105,124,208,292
383	10,28,55,151,189,226
384	10,168
385	12,13
386	14,90
387	14,40,53,63,68,92,305,329
388	15,55
389	15,168
390	15,216
391	15,105,115
392	15
393	15
394	15,279
395	18,141,155,201,303
396	18,303
397	22,189,226
398	23,27,138,336
399	28,333
400	30,168,279
401	30,263
402	31,49,124,279,292
403	31,279
404	31,105,165,224,279
405	31,279
406	31,279
407	31,49,279
408	31,49,165,224,279
409	31
410	31,71,124,279
411	31,49
412	31,49
413	31,317
414	31,40,49,93
415	31,92,168,189
416	40,105,255,281
417	40,47,90,94,95,101,132,212,260,268,289,300,327,335
418	40
419	40
420	40,47,256
421	47,317
422	47,305,328,344
423	49
424	49,189
425	51,139,154
426	52,80,124,292
427	52,124
428	53,329
429	53,55,125
430	54,93,105,124,279
431	55
432	60,75,80,155,201
433	61,236
434	63
435	65,279
436	66,79,97,134
437	73,105,279
438	73,105
439	73,105,115,168
440	73,305
441	74
442	74,126,127,279
443	74,279
444	74,165,224,279
445	74,279
446	74,105
447	74
448	74,279
449	74,279
450	74,127,204,218,305,328
451	76,189,240
452	78,166,183,221,258,306
453	81
454	81,99
455	81
456	81,99
457	81
458	81
459	81,99
460	81
461	81
462	81
463	81,99,279
464	81,99,165,224,279
465	81,99,279
466	81,165,224,279
467	81,279
468	81,279
469	81,279
470	81,279
471	81,165,224,279
472	81,279
473	81,279
474	81,165,224,279
475	81
476	85,305
477	87
478	103,151
479	105,115,168,279
480	105,250
481	105,265,332
482	105
483	105,165,216,224,225,279
484	105
485	105
486	105,165,224
487	108,135,260
488	110
489	115,168
490	115
491	115
492	115,168
493	124,177,254,259
494	124
495	124,168,292,304
496	125
497	125,164,293,295
498	125
499	125,248,256
500	125,248,256
501	130
502	130
503	137,156
504	141,205,231,232,233,302,358
505	151
506	152,153,193,222,261,262,276
507	165,224
508	165,224,225
509	165,224,279
510	168
511	168,279
512	172
513	175,271
514	181,213
515	184
516	189,256
517	189
518	189,282,305
519	189
520	189
521	189,280,282
522	189
523	189
524	204
525	206
526	207,208
527	207,329
528	212
529	220,301,310,312
530	226
531	226
532	227
533	227
534	235,244
535	241
536	241,255
537	245,341
538	248,256
539	248,256
540	248
541	250
542	255,281
543	255
544	256
545	263
546	263
547	263,305,328
548	263
549	263,305,328,333
550	263
551	263
552	263
553	263
554	263
555	263
556	274
557	274
558	278
559	279
560	279
561	279
562	279
563	279
564	280
565	280
566	281
567	282
568	304
569	305
570	305,328,333
571	305
572	305
573	313
574	316
575	329
576	329
577	329
578	329
579	329
580	329
581	329,331,344
582	331
583	337
584	347
585	354
586	496
587	379,559
588	388,389
589	583
590	416,482,507,560
591	430
592	530,531
593	480
594	489,490
595	403,404,405,406,409
596	483
597	512
598	455
599	457,458
600	454,456
601	428,477
602	369,370
603	526
604	538,571
605	363,374
606	364
607	510
608	361
609	518,539,564
610	533,535,536
611	434
612	476,569
613	493
614	437,438
615	534,574
616	385,425,503,506,514
617	432,436,452,525
618	504,585
619	380
620	427
621	537
622	381,382
623	544,570
624	547,582
625	566
626	498,499,500
627	386
628	540
629	513,575
630	459,463,464,465
631	460,466,467,468
632	461,469,470,471
633	462,472,473,474
634	479
635	479
636	479
637	479
638	492
639	431,505
640	568
641	383
642	377,521,567
643	549,550
644	371,372,501,502
645	545,546
646	551,554
647	410
648	412,413,421,478,520
649	424
650	414,576,584
651	446,447,448
652	485,487,557,578
653	401,418,419,433,440,484,565,577
654	376,556
655	378,450,528,572
656	509,561,562,573
657	362,392,393,394
658	384,415
659	543
660	365,522,527
661	486,563
662	422,523,580,581
663	586
664	402,407,408,411,412,423,649
665	516,517,608,642
666	558,612
667	491,593,594
668	373,542,602,610
669	603,622
670	396,400,481,495,627
671	541,607
672	623,624
673	488,613
674	587
675	398,515,616,617,618,621
676	494,620
677	589,647
678	625,626,628
679	367,399,519,640,641
680	475,600,630,634
681	599,631,635
682	598,632,636
683	453,633,637
684	391,439,638
685	441,442,443,444,445,449,651
686	553,643
687	511,587
688	420,451,654
689	387,658
690	614
691	648
692	579,659
693	663
694	601,605,606,660,692
695	508,597,667,671
696	680,681,682,683
697	670
698	604,609,676
699	435,674
700	366,397,629,639,679
701	529,615,675
702	588,684
703	644,668
704	687
705	689
706	666
707	693
708	693
709	656,661,695
710	368,375,417,612,650,652,653,655,662,688,700
711	699
712	429,702
713	707
714	548,552,555,645,646,710
715	665,708
716	590,591,595,596,664,669,685,696,704,709,711
717	713
718	611,672,686,714
719	497,524,717
720	673,719
721	395,426,619,677,720
722	701,721
723	390,532,592,657,678,690,691,694,697,698,703,705,706,712,715,716,722
