node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	53
362	103
363	12
364	27
365	22
366	95
367	31
368	22
369	480
370	11
371	15
372	67
373	153
374	35
375	19
376	17
377	116
378	13
379	13
380	167
381	32
382	36
383	30
384	16
385	24
386	12
387	14
388	23
389	14
390	8
391	39
392	114
393	14
394	6
395	117
396	47
397	59
398	44
399	102
400	22
401	25
402	27
403	19
404	6
405	12
406	8
407	36
408	119
409	11
410	10
411	9
412	15
413	11
414	30
415	111
416	17
417	14
418	25
419	12
420	9
421	11
422	7
423	7
424	14
425	24
426	80
427	19
428	14
429	14
430	11
431	10
432	17
433	150
434	36
435	22
436	13
437	17
438	14
439	31
440	16
441	16
442	9
443	9
444	15
445	13
446	6
447	24
448	135
449	37
450	32
451	25
452	42
453	27
454	22
455	29
456	17
457	18
458	46
459	5
460	5
461	13
462	8
463	9
464	9
465	16
466	13
467	49
468	15
469	62
470	118
471	10
472	89
473	16
474	41
475	38
476	52
477	29
478	12
479	21
480	42
481	12
482	21
483	9
484	79
485	13
486	140
487	11
488	9
489	5
490	5
491	7
492	15
493	15
494	40
495	6
496	21
497	11
498	6
499	5
500	30
501	5
502	11
503	10
504	12
505	28
506	14
507	6
508	13
509	12
510	13
511	10
512	16
513	18
514	13
515	15
516	21
517	21
518	23
519	23
520	23
521	25
522	18
523	20
524	18
525	22
526	20
527	20
528	13
529	34
530	23
531	9
532	21
533	6
534	8
535	5
536	18
537	11
538	6
539	16
540	13
541	101
542	140
543	9
544	29
545	6
546	297
547	6
548	23
549	10
550	7
551	5
552	6
553	24
554	12
555	9
556	27
557	33
558	10
559	59
560	24
561	5
562	17
563	18
564	24
565	43
566	16
567	60
568	60
569	60
570	21
571	12
572	21
573	25
574	8
575	11
576	14
577	6
578	29
579	45
580	12
581	16
582	24
583	15
584	14
585	16
586	5
587	9
588	28
589	12
590	48
591	10
592	25
593	9
594	7
595	13
596	10
597	5
598	8
599	5
600	6
601	13
602	14
603	10
604	42
605	9
606	69
607	54
608	19
609	6
610	28
611	5
612	8
613	20
614	7
615	24
616	14
617	9
618	10
619	40
620	39
621	22
622	28
623	20
624	6
625	34
626	117
627	61
628	59
629	16
630	22
631	6
632	9
633	12
634	12
635	17
636	31
637	18
638	7
639	23
640	8
641	11
642	8
643	14
644	13
645	9
646	16
647	7
648	14
649	9
650	11
651	8
652	8
653	8
654	9
655	12
656	11
657	76
658	34
659	32
660	12
661	6
662	11
663	5
664	25
665	14
666	28
667	8
668	5
669	14
670	5
671	19
672	48
673	23
674	27
675	81
676	85
677	58
678	169
679	43
680	49
681	129
682	84
683	21
684	34
685	39
686	55
687	146
688	20
689	77
690	12
691	49
692	58
693	6
694	13
695	20
696	16
697	78
698	34
699	16
700	8
701	82
702	34
703	31
704	73
705	33
706	22
707	110
708	202
709	15
710	137
711	175
712	76
713	65
714	59
715	17
716	10
717	46
718	44
719	217
720	34
721	27
722	96
723	189
724	43
725	33
726	29
727	15
728	32
729	119
730	92
731	16
732	79
733	90
734	97
735	44
736	48
737	65
738	114
739	173
740	63
741	85
742	31
743	30
744	25
745	27
746	33
747	34
748	29
749	31
750	101
751	40
752	24
753	24
754	138
755	72
756	31
757	373
758	37
759	46
760	172
761	18
762	54
763	29
764	41
765	23
766	19
767	38
768	25
769	25
770	75
771	25
772	82
773	6
774	46
775	102
776	17
777	136
778	34
779	50
780	263
781	212
782	100
783	124
784	109
785	58
786	73
787	63
788	32
789	98
790	43
791	105
792	293
793	124
794	25
795	105
796	100
797	52
798	324
799	143
800	88
801	219
802	139
803	56
804	31
805	150
806	50
807	73
808	40
809	41
810	247
811	95
812	79
