node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	53
362	103
363	12
364	31
365	22
366	11
367	15
368	65
369	92
370	34
371	13
372	13
373	36
374	30
375	8
376	39
377	14
378	6
379	117
380	47
381	28
382	24
383	59
384	31
385	44
386	25
387	27
388	19
389	36
390	6
391	12
392	8
393	36
394	119
395	10
396	9
397	11
398	30
399	7
400	7
401	14
402	80
403	19
404	86
405	14
406	14
407	11
408	19
409	10
410	17
411	36
412	99
413	22
414	13
415	17
416	14
417	31
418	16
419	16
420	9
421	9
422	15
423	13
424	6
425	13
426	24
427	32
428	53
429	6
430	6
431	73
432	25
433	42
434	27
435	22
436	29
437	17
438	18
439	46
440	5
441	30
442	5
443	13
444	8
445	9
446	9
447	49
448	15
449	62
450	89
451	16
452	18
453	21
454	9
455	8
456	11
457	29
458	9
459	5
460	5
461	7
462	15
463	15
464	40
465	66
466	6
467	21
468	11
469	6
470	5
471	30
472	5
473	11
474	10
475	17
476	8
477	12
478	28
479	14
480	6
481	13
482	12
483	13
484	10
485	16
486	18
487	13
488	15
489	21
490	21
491	23
492	23
493	23
494	25
495	18
496	20
497	18
498	22
499	20
500	20
501	13
502	34
503	23
504	9
505	21
506	6
507	5
508	18
509	11
510	6
511	16
512	13
513	140
514	9
515	29
516	17
517	55
518	6
519	6
520	6
521	23
522	10
523	7
524	5
525	6
526	24
527	12
528	9
529	27
530	33
531	10
532	59
533	24
534	5
535	17
536	18
537	24
538	43
539	60
540	60
541	60
542	12
543	11
544	14
545	6
546	12
547	16
548	24
549	15
550	14
551	16
552	5
553	9
554	28
555	12
556	14
557	48
558	10
559	9
560	7
561	13
562	10
563	5
564	12
565	6
566	13
567	14
568	10
569	42
570	14
571	9
572	69
573	54
574	12
575	19
576	6
577	28
578	5
579	8
580	20
581	24
582	5
583	40
584	22
585	28
586	20
587	6
588	34
589	59
590	16
591	6
592	9
593	12
594	17
595	31
596	18
597	7
598	8
599	11
600	8
601	60
602	61
603	33
604	75
605	84
606	47
607	60
608	47
609	47
610	31
611	47
612	27
613	14
614	13
615	5
616	9
617	16
618	7
619	14
620	9
621	11
622	8
623	8
624	37
625	8
626	9
627	12
628	11
629	9
630	32
631	45
632	12
633	8
634	6
635	11
636	20
637	12
638	7
639	14
640	25
641	16
642	10
643	37
644	8
645	5
646	5
647	5
648	19
649	48
650	23
651	27
652	58
653	43
654	129
655	84
656	34
657	39
658	55
659	20
660	12
661	49
662	58
663	6
664	13
665	20
666	16
667	78
668	34
669	16
670	8
671	82
672	34
673	31
674	73
675	33
676	22
677	110
678	202
679	15
680	76
681	106
682	65
683	59
684	17
685	10
686	44
687	34
688	27
689	96
690	189
691	43
692	29
693	15
694	32
695	119
696	92
697	16
698	79
699	90
700	97
701	75
702	78
703	65
704	114
705	63
706	85
707	44
708	31
709	30
710	25
711	27
712	33
713	34
714	29
715	31
716	40
717	49
718	30
719	37
720	138
721	72
722	31
723	373
724	79
725	37
726	46
727	61
728	47
729	18
730	54
731	29
732	36
733	41
734	96
735	207
736	31
737	23
738	19
739	38
740	60
741	25
742	25
743	75
744	25
745	82
746	6
747	17
748	66
749	34
750	50
751	263
752	212
753	100
754	124
755	109
756	73
757	32
758	98
759	43
760	105
761	293
762	124
763	25
764	105
765	117
766	100
767	52
768	324
769	143
770	219
771	150
772	160
773	50
774	73
775	40
776	41
777	247
778	79
779	92
780	55
781	80
782	54
783	120
784	190
785	178
786	27
787	54
788	49
789	19
790	34
791	175
792	204
793	78
794	87
795	424
796	297
797	190
798	221
799	53
800	365
801	460
802	253
803	294
804	145
805	78
806	150
807	233
808	102
809	36
810	40
811	99
812	1193
