node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	103
362	12
363	31
364	22
365	11
366	13
367	13
368	36
369	30
370	6
371	47
372	59
373	44
374	25
375	27
376	19
377	6
378	8
379	36
380	119
381	10
382	9
383	11
384	30
385	7
386	7
387	14
388	80
389	19
390	14
391	36
392	22
393	13
394	17
395	14
396	31
397	16
398	16
399	9
400	9
401	15
402	13
403	6
404	24
405	32
406	5
407	5
408	13
409	9
410	49
411	15
412	62
413	89
414	16
415	9
416	9
417	5
418	15
419	15
420	40
421	6
422	21
423	11
424	6
425	5
426	30
427	5
428	11
429	10
430	12
431	14
432	6
433	13
434	12
435	13
436	10
437	16
438	18
439	13
440	15
441	21
442	21
443	23
444	23
445	23
446	25
447	18
448	20
449	18
450	22
451	20
452	20
453	13
454	23
455	18
456	6
457	16
458	13
459	140
460	9
461	29
462	6
463	23
464	10
465	7
466	5
467	6
468	33
469	59
470	24
471	17
472	24
473	60
474	60
475	60
476	14
477	6
478	5
479	9
480	48
481	10
482	9
483	7
484	13
485	10
486	5
487	6
488	13
489	14
490	10
491	42
492	9
493	69
494	54
495	28
496	5
497	8
498	20
499	40
500	22
501	28
502	20
503	6
504	34
505	59
506	16
507	12
508	17
509	31
510	18
511	7
512	11
513	8
514	16
515	7
516	14
517	9
518	11
519	8
520	8
521	8
522	9
523	32
524	12
525	6
526	11
527	25
528	5
529	5
530	19
531	48
532	23
533	27
534	58
535	43
536	39
537	20
538	12
539	49
540	58
541	6
542	13
543	20
544	16
545	78
546	16
547	8
548	82
549	73
550	33
551	22
552	110
553	202
554	76
555	44
556	34
557	27
558	96
559	189
560	43
561	15
562	32
563	92
564	16
565	97
566	65
567	114
568	63
569	85
570	31
571	30
572	25
573	27
574	33
575	34
576	29
577	31
578	40
579	138
580	46
581	18
582	54
583	29
584	41
585	25
586	25
587	75
588	25
589	82
590	17
591	34
592	50
593	263
594	73
595	32
596	98
597	105
598	293
599	25
600	100
601	52
602	324
603	143
604	219
605	150
606	50
607	73
608	40
609	41
610	247
611	79
612	54
613	190
614	27
615	54
616	49
617	34
618	204
619	78
620	87
621	424
622	297
623	53
624	460
625	253
626	145
627	78
628	233
629	102
630	36
631	40
632	99
633	54
634	292
635	52
636	302
637	469
638	53
639	89
640	406
641	1152
642	1213
643	2737
