node	children_node
361	0,31,40,49,54,74,81,93,99,105,165,168,189,224,225,279,327,345
362	0,15,165,224,225,249
363	0,15,165,224,225,279
364	0,165,224,225,238,279
365	0,165,238,279
366	3,255,281
367	3,255
368	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
369	3,255
370	6
371	6
372	6,175
373	6
374	6
375	6,10,54,165,224,225
376	6
377	6
378	6,10
379	6,51
380	6,130,282
381	6,130,282
382	6
383	6,51
384	6
385	6
386	6
387	6
388	7,165,224,225,238,292
389	9,305,328
390	9,274,305,317,328,329,339
391	9,14,53,168,212,226,305,328
392	10,81,99,165,210,224,225,279
393	10,165,224,225,238,279
394	10,54,165,189,224,226
395	10,189,249
396	10,63,189,226
397	10,105,124,208,292
398	10,168
399	12,13
400	14,90
401	14,40,53,63,68,92,305,329
402	15,216
403	15,55
404	15,168
405	15
406	15,216
407	15,105,115
408	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
409	15
410	15,126,127
411	15,216
412	15,216
413	15,216
414	15,216
415	15
416	15
417	15,279
418	15,127,168,216,281
419	18,141,155,201,303
420	18,303
421	23,27,138,336
422	30,63,68,168,238,279
423	30,168,279
424	31,49,124,279,292
425	31,279
426	31,105,165,224,279
427	31,279
428	31,279
429	31,49,279
430	31,49,165,224,279
431	31
432	31,71,124,279
433	31,49
434	31,49
435	31,317
436	31,92,168,189
437	32,69
438	38,277
439	40,105,255,281
440	47,317
441	49
442	49,189
443	51,139,154
444	51,68,175
445	51,168
446	52,80,124,292
447	52,124
448	53,329
449	53,168,238,241,267,279
450	53,168,241,267
451	53,55,125
452	54,93,105,124,279
453	54
454	54,237
455	54,237
456	54,165,224,225,238,279
457	54,279
458	54,105,189
459	54
460	54,238,309
461	60,75,80,155,201
462	61,159
463	61,62,159,236,346
464	61,62,159,236
465	65,279
466	66,79,97,134
467	73,105,279
468	73,105
469	73,105,115,168
470	74
471	74,126,127,279
472	74,279
473	74,165,224,279
474	74,279
475	74,105
476	74
477	74,279
478	74,279
479	78,166,183,221,258,306
480	81
481	81,99
482	81
483	81,99
484	81
485	81
486	81,99
487	81
488	81
489	81
490	81,99,279
491	81,99,165,224,279
492	81,99,279
493	81,165,224,279
494	81,279
495	81,279
496	81,279
497	81,279
498	81,165,224,279
499	81,279
500	81,279
501	81,165,224,279
502	81
503	85,305
504	86
505	87
506	103,151
507	105,115,168,279
508	105,250
509	105,238
510	105,265,332
511	105
512	105,165,216,224,225,279
513	105,165,224
514	108,135,161
515	110
516	115,168
517	115
518	115
519	115,168
520	124,177,254,259
521	124
522	124,168,292,304
523	125
524	125,164,293,295
525	125
526	125
527	125,248,256
528	125,248,256
529	125,329
530	126,175,216
531	127
532	128
533	130
534	130
535	130
536	130,139,157,193,202,216,222,262
537	137,156
538	141,205,231,232,233,302,358
539	152,153,193,222,261,262,276
540	165,224
541	165,216
542	165,224,225
543	165,224,279
544	168
545	168,279
546	172
547	175
548	175
549	181,213
550	184
551	189,256
552	189
553	189,282,305
554	189
555	189,280,282
556	189
557	204
558	206
559	207,208
560	207,329
561	210,279
562	216,279
563	216
564	216
565	220,301,310,312
566	222
567	226
568	226
569	227
570	227
571	235,244
572	238,279
573	238
574	241
575	241,255
576	241,267
577	245,341
578	246
579	248,256
