node	children_node
361	0,165,224,225,249
362	4,150,202
363	7
364	7,44,111,243
365	8,114
366	9,43,50,132,212,268,300,329,335
367	11,38,39,144,147,200,234,319,349,355
368	22
369	26
370	29,63,189
371	29
372	43
373	43,132,253,298,329
374	44,111,243
375	44,111,243
376	44,111,243
377	44,111,243
378	44,111,243
379	45,77
380	50
381	50
382	59,197
383	63,189
384	67,352
385	68
386	80,307
387	84
388	86,133
389	86,88,133,197,250
390	86,133
391	86,88
392	101
393	110
394	116,125,337
395	117
396	119,170
397	119,132,335
398	124,134
399	125
400	125
401	125,235
402	125
403	129,186,211
404	131
405	132,335
406	132,264,335
407	132,264,335
408	132,289,298
409	132,289
410	142,280
411	150
412	202
413	202
414	211
415	243
416	243
417	253,298
418	264
419	272
420	290
421	298
422	337
423	363,364,374,375,376,377,378,410,415,416,422
424	361
425	400
426	373
427	406,407,418
428	393,395,396,403
429	412
430	383
431	397,411
432	362,380,381,388,389,413
433	404
434	384
435	369
436	366
437	386,398,401
438	379
439	402
440	409
441	365,368,420
442	414
443	419
444	370
445	394
446	391
447	423,424
448	443
449	433
450	399,417,425,437
451	405,427
452	371,382,421,429
453	385,431
454	387,439
455	440
456	408,432,435,442
457	390,446
458	455
459	444,452
460	453
461	449,454
462	372,392,426,428,451
463	436,438,445,447,456,457,462
464	367,430,434,441,448,450,458,459,460,461,463
