node	size
799	54
800	49
801	283
802	441
803	175
804	34
805	941
806	204
807	78
808	87
809	424
810	297
811	53
812	365
813	63
814	460
815	253
816	145
817	78
818	233
819	102
820	265
821	36
822	40
823	96
824	99
825	93
826	1193
827	54
828	71
829	288
830	292
831	97
832	90
833	85
834	52
835	97
836	85
837	85
838	99
839	96
840	620
841	1315
842	302
843	469
844	91
845	53
846	927
847	129
848	95
849	91
850	99
851	1453
852	89
853	156
854	1183
855	406
856	2340
857	1152
858	1213
859	2737
