node_name	children_node_name
R-HSA-1660499	P48736,P42338,P42336,P27986,O00329
R-HSA-912526	P62993,P42338,P42336,P27986,O60674,O00329
R-HSA-912631	P62993,P43405,P42338,P42336,P27986,O00329
R-HSA-983695	P62993,P43405,P27986,O00329
R-HSA-6798695	Q9UHL4,Q16769,Q13464,Q05655,P62937,P55072,P49768,P42785,P28482,P25774,P25105,P25090,P25025,P25024,P22894,P21462,P20701,P15144,P14780,P09960,P09917,P09211,P08473,P08246,P08238,P07900,P07858,P07384,P04066,P00749,O14672
R-HSA-2162123	P35354,P24557,O14684
R-HSA-1169091	O14920
R-HSA-1236974	O14920
R-HSA-168638	P29466,O14920
R-HSA-168927	O14920
R-HSA-1810476	O14920
R-HSA-202424	P42338,P42336,P27986,P06239,O15530,O14920
R-HSA-2871837	O15530,O14920
R-HSA-445989	P05067,O14920
R-HSA-5684264	O14920
R-HSA-933542	P05067,O14920
R-HSA-933543	O14920
R-HSA-937039	O14920
R-HSA-937041	O14920
R-HSA-975144	O14920
R-HSA-1483148	O14939
R-HSA-1483166	P47712,P14555,P04054,O14939
R-HSA-2029485	Q05655,P43405,P42338,P42336,P27986,O14939
R-HSA-71240	P14902,O15229
R-HSA-1989781	Q96RI1,Q92793,Q13133,P55055,P37231,P19793,P04798,P04035,O15379
R-HSA-109704	P62993,P42338,P42336,P36888,P27986,P11362,P09038,O15530
R-HSA-2730905	P62993,P43405,P42338,P42336,P27986,O15530
R-HSA-389357	P42345,P42336,P31749,P27986,P06239,O15530
R-HSA-1475029	Q9Y2D0,Q9ULX7,Q16790,P43166,P35218,P23280,P22748,P00918,P00915,O43570
R-HSA-1059683	P40763,O60674
R-HSA-1170546	O60674
R-HSA-5673000	P15056,P12931,O60674
R-HSA-6785807	Q16665,Q07817,P51449,P41143,P40763,P35372,P35354,P31749,P27986,P21453,P21397,P14780,P11309,P10415,P09917,P09038,P08254,P08253,P07900,P03956,O60674
R-HSA-6788467	O60674
R-HSA-877312	P18031,P17706,O60674
R-HSA-8854691	P40763,O60674
R-HSA-8984722	P40763,O60674
R-HSA-9020933	P40763,O60674
R-HSA-9020956	P40763,O60674
R-HSA-982772	P78536,P40763,P28482,P18031,O60674
R-HSA-8964539	O94925
